transliteration,arabic_script,arabic_alternates,english_meanings,part_of_speech,dialect,gender,plural,plural_arabic,category,notes,verb_forms
experiment,‫ﺗﹷﺠﺮﹸﺑﹷﺔ‬,‫ﺗﹷﺠﺎﹶﺭﹸﺏ‬ | ‫ﺟﹷﺮﹼﹶﺏ‬ | ‫ﻳﹻﺠﹷﺮﹼﹶﺏ‬ | ‫ﻣﹹﺠﹷﺮﹼﹶﺏ‬,,n f | v p,MS | EG,f,experiments,,intellect: evaluation | intellect: inquiry,1) EN n s: experiment | 2) EN vi inf: experiment,p: experimented
experimental,‫ﺗﹷﺠﺮﻳﺒﻲ‬,‫ﺗﹷﺠﺮﻳﺒﹻﻴﻴﹷﺔ‬ | ‫ﺗﹷﺠﺮﻳﺒﹻﻴﻴﻦ‬,experimental,adj | adj m,MS,m,,,intellect: evaluation,,
experimenter,‫ﻣﹹﺠﹷﺮﹼﹶﺏ‬,,experimenter,n s | n m,EG,m,experimenters,,intellect: inquiry,,
expert,‫ﺣﹻﺮﹶﻓﻲ‬,‫ﺣﹻﺮﹶﻓﹻﻴﻴﻦ‬ | ‫ﺧﹷﺒﻴﺮ‬ | ‫ﺧﹹﺒﹷﺮﺍﹶء‬ | ‫ﺁﻝﺍﹺﻟﺨﹻﺒﺮﹶﺓ‬ | ‫ﻣﹹﺠﹷﺮﹼﹶﺏ‬,expert,n m | n s,MS | EG,m,experts,,intellect: knowledge,,
expire,‫ﺇﻧﺘﹷﻬﻰ‬,‫ﻳﹻﻨﺘﹻﻬﻲ‬ | ‫ﻣﹹﻨﺘﹷﻬﻲ‬,expire,v inf | vi p,MS,,,,activity: stop,,p: expired | pass: expired
expired,‫ﻣﹻﻨﺘﹻﻬﻲ‬,‫ﻣﹻﻨﺘﹻﻬﹻﻴﻴﹷﺔ‬ | ‫ﻣﹻﻨﺘﹻﻬﹻﻴﻴﻦ‬,expired,adj | adj m,MS,m,,,qualities: durable,,
expiry,‫ﺻﹷﻼﹶﺣﹻﻴﹷﺔ‬,‫ﺻﹷﻼﹶﺣﹻﻴﺎﹶﺕ‬,expiry,n s | n f,EG,f,,,activity: stop,,
explain,‫ﺷﹷﺮﹶﺡ‬,‫ﻳﹻﺸﺮﹶﺡ‬ | ‫ﻓﹷﻬﹽﹻﻢ‬ | ‫ﻳﹻﻔﹷﻬﹽﹻﻢ‬,explain,v inf | v p,MS,,,,influence: explain,,p: explained | pass: explained
explanation,‫ﺷﹷﺮﺡ‬,‫ﺗﹷﻔﺴﻴﺮ‬ | ‫ﺗﹷﻔﺴﻴﺮﺍﹶﺕ‬,,n m,MS,m,explanations,,influence: explain,1) EN n: explanation | 2) EN n s: explanation,
explicit,‫ﻭﺍﹶﺿﹻﺢ‬,‫ﻭﺍﹶﺿﹻﺤﹷﺔ‬ | ‫ﻭﺍﹶﺿﺤﻴﻦ‬ | ‫ﻣﹹﺤﹷﺪﹼﹶﺩ‬ | ‫ﻣﹹﺤﹷﺪﹼﹶﺩﹶﺓ‬ | ‫ﻣﹹﺤﹷﺪﹼﹶﺩﻳﻦ‬,explicit,adj | adj m,MS,m,,,intellect: certainty | quantity: accuracy,1) clear | 2) precise,
EN v inf: explode,‫ﻓﹷﺮﻗﹷﻊ‬,‫ﻳﹻﻔﹷﺮﻗﹷﻊ‬ | ‫ﻣﹻﺘﻔﹷﺮﻗﹷﻊ‬ | ‫ﺇﻧﻔﹷﺠﹷﺮ‬ | ‫ﻳﹻﻨﻔﹻﺠﹻﺮ‬ | ‫ﺇﺗﻔﹷﺮﻗﹷﻊ‬ | ‫ﻳﹻﺘﻔﹷﺮﻗﹷﻊ‬,,vi p,MS | EG,,,,society: violence,,p: exploded | pass: exploded
exploit,‫ﺇﺳﺘﹷﻐﹷﻞﹼ‬,‫ﻳﹻﺴﺘﹷﻐﹻﻞﹼ‬ | ‫ﻣﹹﺴﺘﹷﻐﹻﻞﹼ‬ | ‫ﺇﺳﺘﹷﻌﻤﹻﻞ‬ | ‫ﻳﹻﺴﺘﹷﻌﻤﹻﻞ‬ | ‫ﻣﹻﺴﺘﹷﻌﻤﹻﻞ‬,exploit,v inf | v p,MS | EG,,,,character: honesty | activity: use,1) use unfairly | 2) make use of,p: exploited | pass: exploited
exploration,‫ﺇﻛﺘﹻﺸﺎﹶﻑ‬,‫ﺇﻛﺘﹻﺸﺎﹶﻓﺎﹶﺕ‬,exploration,n s | n m,MS,m,,,intellect: search,,
explore,‫ﺇﺳﺘﹷﻜﺸﹻﻒ‬,‫ﻳﹻﺴﺘﹷﻜﺸﹻﻒ‬ | ‫ﻣﹻﺴﺘﹷﻜﺸﹻﻒ‬,explore,v inf | v p,EG,,,,intellect: inquiry,,p: explored | pass: explored
explosion,‫ﺇﻧﻔﹻﺠﺎﹶﺭ‬,‫ﺇﻧﻔﹻﺠﺎﹶﺭﺍﹶﺕ‬,explosion,n s | n m,MS,m,explosions,,society: violence,,
export,‫ﺗﹷﺼﺪﻳﺮ‬,‫ﺻﹷﺪﹼﹶﺭ‬ | ‫ﻳﹻﺼﹷﺪﹼﹶﺭ‬ | ‫ﻣﹹﺼﹷﺪﹼﹺﺭ‬,,n m | v p,MS | EG,m,exports,,movement: move something,1) EN n s: export | 2) EN v inf: export,p: exported | pass: exported
expose,‫ﻓﹷﻀﹷﺢ‬,‫ﻳﹻﻔﻀﹷﺢ‬ | ‫ﻣﹷﻔﻀﻮﺡ‬ | ‫ﻛﹷﺸﹷﻒ‬ | ‫ﻳﹻﻜﺸﹻﻒ‬ | ‫ﻋﹷﺮﹼﹶﺽ‬ | ‫ﻳﹻﻌﹷﺮﹼﹶﺽ‬ | ‫ﻣﹹﻌﹷﺮﹼﹶﺽ‬,expose,v inf | v p,EG | MS,,,,character: discrete | inf: exposed | intellect: discover | qualities: safe,1) shame | 2) uncover | 3) to danger,p: exposed | pass: exposed
exposed,‫ﻣﹹﻌﹷﺮﹼﹶﺽ‬,‫ﻣﹹﻌﹷﺮﹼﹶﺿﹷﺔ‬ | ‫ﻣﹹﻌﹷﺮﹼﹶﺿﻴﻦ‬,exposed,adj | n m,EG,m,,,qualities: safe,,
exposure,‫ﻣﹹﻌﹷﺮﹼﹶﺿﹷﺔ‬,‫ﻣﹹﻌﹷﺮﹼﹶﺿﺎﹶﺕ‬,exposure,n s | n f,EG,f,exposures,,qualities: safe,,
express,‫ﺳﹷﺮﻳﻊ‬,‫ﺳﹷﺮﻳﻌﹷﺔ‬ | ‫ﺳﹹﺮﺍﹶﻉ‬ | ‫ﺃﺳﺮﹶﻉ‬ | ‫ﻋﹷﺒﹽﹷﺮﻋﹷﻦ‬ | ‫ﻳﹻﻌﹷﺒﹽﹷﺮﻋﹷﻦ‬ | ‫ﻣﹹﻌﹷﺒﹽﹻﺮ‬,,adj m | v p,MS,m,,,time: speed,1) EN adj: express | 2) EN v inf: express,p: expressed | pass: expressed
express mail,,,express mail,n coll,,,,,communication: transmission,,
EG n m: gawaeb mistaAgil,‫ﺟﹷﻮﺍﹶﺏﻣﹻﺴﺘﹷﻌﺠﹻﻞ‬,,,,,,,,,,
expression,‫ﻋﹻﺒﺎﹶﺭﹶﺓ‬,‫ﻋﹻﺒﺎﹶﺭﺍﹶﺕ‬ | ‫ﺗﹷﻌﺒﻴﺮ‬ | ‫ﺗﹷﻌﺒﻴﺮﺍﹶﺕ‬ | ‫ﺷﹷﻜﻞ‬ | ‫ﺃﺷﻜﺎﹶﻝ‬,expression,n s | n f | n m,MS,f | m,expressions,,communication: language,1) form of words | 2) face,
extend,‫ﺟﹷﺪﹼﹺﺩ‬,‫ﻳﹻﺠﹷﺪﹼﹺﺩ‬ | ‫ﻣﹹﺠﹷﺪﹼﹺﺩ‬ | ‫ﺇﺗﻄﹷﻮﹼﹺﻝ‬ | ‫ﻳﹻﺘﻄﹷﻮﹼﹺﻝ‬ | ‫ﻣﹹﺘﹷﻄﹷﻮﹼﹺﻝ‬ | ‫ﻣﹻﺪﹼ‬ | ‫ﻳﹻﻤﹻﺪﹼ‬,extend,v inf | v p,MS | EG,,,,activity: continue | change: shape,1) renew | 2) make bigger | 3) arm,p: extended | pass: extended
extended,‫ﺇﺗﺠﹷﺪﹼﹺﺩ‬,‫ﻳﹻﺘﺠﹷﺪﹼﹺﺩ‬,(be) extended,vi inf | vi p,EG,,,,change: increase/decrease,,p: (was) extended
extension,,,extension,n s,,,extensions,,technical: electrical | activity: continue,1) phone | 2) eg visa,
MS n f: waSlio iil-tilyfwn,‫ﻭﹶﺻﻠﹻﺔﺍﹺﻟﺘﹻﻠﻴﻔﻮﻥ‬,‫ﺗﹷﻤﺪﻳﺪ‬ | ‫ﺇﻃﺎﹶﻟﹷﺔ‬ | ‫ﺇﻃﺎﹶﻻﹶﺕ‬,,n m | n f,MS | EG,m | f,,,,,
EN n s: extension cable,‫ﻭﹶﺻﻠﹻﺔﻛﹷﻬﺮﹶﺑﺎﹶﺋﻴﹷﺔ‬,‫ﻭﹶﺻﻠﹷﺔ‬ | ‫ﻭﹶﺻﹷﻼﹶﺕ‬,,n m | n f,EG | MS,m | f,extension,,technical: electrical,,
extensive,‫ﻣﹹﻤﺘﹷﺪﹼ‬,‫ﻣﹹﻤﺘﹷﺪﹼﹶﺓ‬,extensive,adj | adj m,MS,m,,,quantity: degree,,
extent,‫ﻗﹷﺪﹼﺇﻳﻪ‬,,(to what) extent,q,EG,,,,quantity: proportion,,
exterminate,‫ﺃﺑﺎﹶﺩ‬,‫ﻳﹻﺒﻴﺪ‬,exterminate,v inf | v p,MS,,,,society: violence,,p: exterminated | pass: exterminated
extinguish,‫ﻃﹷﻔﻰ‬,‫ﻳﹻﻄﻔﻲ‬ | ‫ﻣﹷﻄﻔﻲ‬,extinguish,v inf | v p,EG,,,,environment: fire,,p: extinguished | pass: extinguished
extinguisher,‫ﻃﹷﻔﹽﺎﹶﻳﹷﺔ‬,‫ﻃﹷﻔﹽﺎﹶﻳﺎﹶﺕ‬,extinguisher,n s | n f,EG,f,extinguishers,,environment: fire,,
extra,‫ﺯﹺﻳﺎﹶﺩﹶﺓ‬,,extra,adj | adv | adj invar,MS,,,,quantity: sufficiency | change: increase/decrease,1) EN adv: extra | 2) supplementary,
extract,,,extract,v inf,,,,,movement: in and out,,p: extracted | pass: extracted
extraordinary,‫ﺧﹷﻠﹷﻊ‬,‫ﻳﹻﺨﻠﹷﻊ‬ | ‫ﺧﺎﹶﻟﹻﻊ‬ | ‫ﻣﹷﺨﻠﻮﻉ‬,,v p,EG,,,,,,
EN adj: extraordinary,‫ﻏﻴﺮﻋﺎﹶﺩﻱ‬,‫ﻏﻴﺮﻋﺎﹶﺩﹺﻳﻴﹷﺔ‬ | ‫ﻏﻴﺮﻋﺎﹶﺩﹺﻳﻴﻦ‬,,adj m,EG,m,,,qualities: special,,
extravagance,‫ﺗﹷﺒﺪﻳﺪ‬,,extravagance,n | n m,EG,m,,,possessions: money,,
extremely,‫ﺧﺎﹶﻟﹻﺺ‬,‫ﺟﹻﺪﹼﺍﹰ‬ | ‫ﻉﹶﺍﹺﻷﺧﹻﺮ‬,extremely,adv,EG | MS,,,,quantity: degree,1) + abstract noun | 2) EN adv: extremely,
extremism,‫ﺗﹷﻄﹷﺮﹼﹸﻑ‬,,extremism,n invar | n m,EG,m,,,society: politics,,
extremist,‫ﻣﹹﺘﹷﻄﹷﺮﹼﹺﻑ‬,‫ﻣﹹﺘﹷﻄﹷﺮﹼﹺﻓﻴﻦ‬,extremist,n s | n m,MS,m,extremists,,society: civil unrest,,
eye,‫ﻋﻴﻦ‬,‫ﻋﹹﻴﻮﻥ‬ | ‫ﺧﹷﺪﺑﺎﹶﻟﹹﻪﻣﹻﻦ‬ | ‫ﻳﺎﹶﺧﹹﺪﺑﺎﹶﻟﹹﻪﻣﹻﻦ‬,,n m | expr p,MS | EG,m,eyes,,people: external parts | communication: visual,1) EN n s: eye | 2) EN expr: keep an eye on,
eye lash,‫ﺭﹶﻣﻮﺵ‬,,eye lash,n s | n m,EG,m,eye,,people: external parts,,
eyebrow,,,eyebrow,n s,,,eyebrows,,people: external parts,,
eyelid,‫ﺣﺎﹶﺟﹻﺐ‬,‫ﺣﺎﹶﺟﺒﻴﻦ‬ | ‫ﺣﹷﻮﺍﹶﺟﹻﺐ‬,,n m,MS,m,,,,,
EN n s: eyelid,‫ﺟﹻﻔﻦ‬,‫ﺟﹹﻔﻮﻥ‬,,n m,MS,m,eyelids,,people: external parts,,
eyewitness,‫ﺷﺎﹶﻫﹻﺪﻋﹷﻴﺎﹶﻥ‬,‫ﺷﹹﻬﻮﺩﻋﹷﻴﺎﹶﻥ‬,eyewitness,n s | n m,MS,m,eyewitnesses,,communication: visual,,
fable,‫ﺃﹸﺳﻄﻮﺭﹶﺓ‬,‫ﺃﺳﺎﹶﻃﻴﺮ‬,fable,n s | n f,MS,f,fables,,intellect: fact,,
fabric,‫ﻗﹹﻤﺎﹶﺵ‬,‫ﺃﻗﻤﹻﺸﹷﺔ‬,fabric,n coll | n m,MS,m,,,materials: clothing,,
fabulous,‫ﺭﹶﻭﹶﻋﹷﺔ‬,,fabulous,adj | adj invar,MS,,,,qualities: special,,
face,‫ﻭﹺﺵﹼ‬,‫ﻭﹸﺷﻮﺵ‬ | ‫ﻭﹸﺟﻮﻩ‬ | ‫ﻭﺍﹶﺟﹻﻪ‬ | ‫ﻳﹻﻮﺍﹶﺟﹻﻪ‬,face,v inf | n m | v p,EG | MS,m,faces,,people: external parts | influence: support,1) EN n s: face | 2) confront,p: faced | pass: faced
facilitate,‫ﺳﹷﻬﹽﹻﻞ‬,‫ﻳﹻﺴﹷﻬﹽﹻﻞ‬ | ‫ﻣﹻﺘﺴﹷﻬﹽﹻﻞ‬,facilitate,v inf | v p,MS,,,,influence: support,,p: facilitated | pass: facilitated
facility,‫ﻣﹷﺮﺍﹶﻓﹻﻖ‬,,facility,n s | n pl,MS,,facilities,,work: workplace,,
facing,‫ﻓﻲﻭﹺﺵﹼ‬,‫ﻗﹹﺼﺎﹶﺩ‬,facing,prep,EG,,,,movement: position,,
fact,‫ﺣﹷﻘﻴﻘﹷﺔ‬,‫ﺣﹷﻘﺎﹶﻳﹻﻖ‬,fact,n s | n f,MS,f,facts,,intellect: fact,,
factory,‫ﻣﹷﺼﻨﹷﻊ‬,‫ﻣﹷﺼﺎﹶﻧﹻﻊ‬,factory,n s | n m,MS,m,factories,,work: workplace,,
faculty,‫ﻛﹹﻠﹽﹻﻴﻴﹷﺔ‬,‫ﻛﹹﻠﹽﹻﻴﺎﹶﺕ‬,faculty,n s | n f,MS,f,faculties,,education: other,,
fad,‫ﺗﹷﻘﹷﻠﻴﻊﹶ‬,‫ﺗﹷﻘﺎﹶﻟﻴﻊ‬,fad,n s | n m,EG,m,fads,,intellect: interest,,
fade,‫ﺑﹷﻬﹷﺖ‬,‫ﻳﹻﺒﻬﹷﺖ‬ | ‫ﺑﺎﹶﻫﹻﺖ‬ | ‫ﺑﺎﹶﻫﹷﺖ‬ | ‫ﻣﹷﺒﻬﻮﺕ‬,,v p | vi p,MS,,,,qualities: colours,1) EN v inf: (cause to) fade | 2) EN v inf: fade,p: (caused to) fade | pass: (caused to) fade | p: faded | pass: faded
faeces,‫ﺑﹹﺮﺍﹶﺯ‬,,faeces,n | n m,MS,m,,,people: bodily functions,,
faggot,‫ﺷﹷﺨﺺﺷﹷﺬﹼ‬,,,n m,EG,m,faggots,,people: gender,US n s: faggot,
fail,‫ﻓﹷﺸﹷﻞ‬,‫ﻳﹻﻔﺸﹷﻞ‬ | ‫ﺳﹻﻘﹻﻂ‬ | ‫ﻳﹻﺴﻘﹷﻂ‬ | ‫ﺧﺎﹶﺏ‬ | ‫ﻳﹻﺨﻴﺐ‬ | ‫ﺧﺎﹶﻳﹻﺐ‬,fail,v inf | vi p | v p,MS,,,,state: working | education: qualifications | qualities: good,1) go wrong | 2) in exam | 3) in life,p: failed | pass: failed
failure,‫ﻓﹷﺸﹷﻞ‬,‫ﺧﹷﻴﺒﹷﺔ‬ | ‫ﺧﹷﻴﺒﺎﹶﺕ‬ | ‫ﺳﹹﻘﻮﻁ‬ | ‫ﻓﺎﹶﺷﹻﻞ‬ | ‫ﻓﺎﹶﺷﹻﻠﹷﺔ‬ | ‫ﻓﺎﹶﺷﻠﻴﻦ‬ | ‫ﺧﺎﹶﻳﹻﺐ‬ | ‫ﺧﺎﹶﻳﺒﹷﺔ‬ | ‫ﺧﺎﹶﻳﺒﻴﻦ‬,failure,n s | adj | n m | n f | adj m,MS | EG,m | f,failures,,character: ability | education: qualifications,1) in life | 2) in exam | 3) person,
fair,‫ﺳﹷﺨﺴﹷﺦ‬,‫ﻳﹻﺴﹷﺨﺴﹷﺦ‬ | ‫ﻣﹻﺘﺴﹷﺨﺴﹷﺦ‬ | ‫ﻣﹻﺴﹷﺨﺴﹷﺦ‬ | ‫ﻣﹻﺴﹷﺨﺴﹷﺨﹷﺔ‬ | ‫ﻣﹻﺴﹷﺨﺴﹷﺨﻴﻦ‬ | ‫ﻣﹷﻌﺮﹶﺽ‬ | ‫ﻣﹷﻌﺎﹶﺭﹺﺽ‬ | ‫ﺃﺷﻘﹷﺮ‬ | ‫ﺷﹷﻘﺮﹶﺓ‬ | ‫ﺷﹹﻘﺮ‬ | ‫ﻋﺎﹶﺩﹺﻝ‬ | ‫ﻋﺎﹶﺩﹺﻟﹷﺔ‬ | ‫ﻋﺎﹶﺩﻟﻴﻦ‬ | ‫ﺑﹻﻌﹷﺪﺍﹶﻟﹷﺔ‬,fair,vi p | adj m | n s | n m | adj | adv,MS,m,fairs,,communication: gathering | people: attributes | spirit: fair,1) event | 2) light hair | 3) reasonable | 4) fairly,
fair skinned,‫ﺃﺑﻴﹷﻀﺎﹶﻧﻲ‬,,fair skinned,adj | adj s,EG,,,,people: attributes,,
fairly,‫ﺑﹻﺎﹺﻧﺼﺎﹶﻑ‬,‫ﺑﹻﺈﻋﺘﹻﺪﺍﹶﻝ‬,fairly,adv,MS | EG,,,,spirit: fair | quantity: degree,1) in a fair way | 2) moderately,
fairy tale,‫ﻗﹹﺼﹽﹷﺔﺧﹹﺮﺍﹶﻓﹻﻴﻴﹷﺔ‬,‫ﻗﹹﺼﹷﺺﺧﹹﺮﺍﹶﻓﹻﻴﻴﹷﺔ‬,fairy tale,n s | n f,MS,f,fairy,,communication: written,,
faith,,,faith,n s | n invar,,,faiths,,spirit: religion,1) religion | 2) belief,
faithful,‫ﺩﹺﻳﻦ‬,‫ﺃﺩﻳﺎﹶﻥ‬ | ‫ﺇﻳﻤﺎﹶﻥ‬ | ‫ﺁﻳﻤﺎﹶﻥ‬,,n m,MS | EG,m,,,,,
EN adj: faithful,‫ﻭﹶﻓﻲ‬,‫ﻭﹶﻓﹻﻴﻴﹷﺔ‬ | ‫ﻭﹶﻓﹻﻴﻴﻦ‬,,adj m,EG,m,,,character: promise,,
fake,‫ﺗﹷﻘﻠﻴﺪ‬,‫ﻓﺎﹶﻟﺼﻮ‬ | ‫ﺑﺎﹶﻃﹻﻞ‬ | ‫ﺑﺎﹶﻃﹻﻠﹷﺔ‬ | ‫ﺑﹷﻮﺍﹶﻃﹻﻞ‬ | ‫ﻣﹻﺘﻘﹷﻠﹽﹻﺪ‬ | ‫ﻣﹻﺘﻘﹷﻠﹽﹻﺪﹶﺓ‬ | ‫ﻣﹻﺘﻘﹷﻠﹽﹻﺪﻳﻦ‬ | ‫ﺗﹷﻘﺎﹶﻟﻴﺪ‬,fake,adj invar | adj m | n s | n m,MS | EG,m,fakes,,qualities: real,1) EN adj: fake | 2) taqlyd,
fall,‫ﻭﹺﻗﹻﻊﻓﻲ‬,‫ﻳﹹﻮﻗﹻﻊﻓﻲ‬ | ‫ﻭﹶﻗﻌﹷﺔ‬ | ‫ﻭﹶﻗﻌﺎﹶﺕ‬ | ‫ﻭﹺﻗﹻﻊ‬ | ‫ﻳﹹﻘﹷﻊ‬,,v p | n f | vi p,MS | EG,f,falls,,movement: up and down,1) EN v inf: fall (into) | 2) EN n s: fall | 3) EN v inf: fall,p: fell (into) | pass: fallen (into) | p: fell | pass: fallen
fall asleep,‫ﻧﹻﻌﹻﺲ‬,‫ﻳﹻﻨﻌﹷﺲ‬ | ‫ﻧﹷﻌﺴﺎﹶﻥ‬,fall asleep,vi inf | vi p,MS,,,,people: sleep,,p: fell asleep | pass: fallen asleep
fall down,,,fall down,v inf,,,,,movement: up and down,,p: fell down | pass: fallen down
falling down,‫ﻭﹺﻗﹻﻊ‬,‫ﻳﹹﻘﹷﻊ‬,,vi p,MS,,,,,,
EN part: falling down,‫ﻭﹸﻗﻮﻉ‬,,,n m,EG,m,,,movement: up and down,,
false,‫ﻓﹷﻠﺼﻮ‬,‫ﻣﹹﺰﹶﻭﹼﹶﺭ‬ | ‫ﻏﹷﻠﹷﻂ‬,,n m | adj invar,EG | MS,m,,,intellect: fact,1) EN n invar: false | 2) EN adj: false,
fame,‫ﻧﹹﺠﻮﻣﹻﻴﻴﹷﺔ‬,,fame,n | n f,MS,f,,,character: respect,,
familiar,‫ﻣﺄﻟﻮﻑ‬,‫ﻣﺄﻟﻮﻓﹷﺔ‬ | ‫ﻣﺄﻟﻮﻓﻴﻦ‬,familiar (with),adj | adj m,EG,m,,,intellect: understand,,
family,‫ﻋﹷﻴﻠﹷﺔ‬,‫ﻋﺎﹶﺋﻼﹶﺕ‬ | ‫ﺃﻫﻞ‬ | ‫ﺃﹸﺳﺮﹶﺓ‬ | ‫ﺃﹸﺳﹷﺮ‬ | ‫ﻋﺎﹶﺋﹻﻠﻲ‬ | ‫ﻋﺎﹶﺋﹻﻠﻴﻴﹷﺔ‬ | ‫ﻋﺎﹶﺋﹻﻠﹻﻴﻴﹷﺔ‬,,n f | n m | adj m,EG | MS,f | m,families,,society: family,1) EN n s: family | 2) EN adj: family,
famous,‫ﻣﹷﺸﻬﻮﺭ‬,‫ﻣﹷﺸﻬﻮﺭﹶﺓ‬ | ‫ﻣﹷﺸﺎﹶﻫﻴﺮ‬,famous,adj | adj m,MS,m,,,character: respect,,
fan,‫ﻣﹹﻌﺠﹷﺐ‬,‫ﻣﹹﻌﺠﹷﺒﻴﻦ‬ | ‫ﻏﺎﹶﻭﻱ‬ | ‫ﻣﹷﺮﻭﹶﺣﹷﺔ‬,fan,n s | n m | n | n f,MS | EG,m | f,fans,,emotion: please | intellect: interest | buildings: heating and ventilation,1) admirer | 2) enthusiast | 3) for air circulation,
fancy,‫ﺣﹷﺐﹼ‬,‫ﻳﹻﺤﹻﺐﹼ‬ | ‫ﺣﺎﹶﺑﹻﺐ‬ | ‫ﻣﹷﺤﺒﻮﺏ‬,fancy,v inf | v p,EG,,,,emotion: attraction,,p: fancied | pass: fancied
EN adj: fantastic,‫ﻫﺎﹶﻳﹻﻞ‬,‫ﻫﺎﹶﻳﻠﹷﺔ‬ | ‫ﻫﺎﹶﻳﻠﻴﻦ‬ | ‫ﻣﹷﻬﻮﻝ‬ | ‫ﻣﹷﻬﻮﻟﹷﺔ‬ | ‫ﻣﹷﻬﻮﻟﻴﻦ‬,,adj m,EG,m,,,qualities: good,,
fantasy,‫ﺧﹷﻴﺎﹶﻝ‬,‫ﺧﹷﻴﺎﹶﻻﹶﺕ‬,fantasy,n s | n m,EG,m,fantasies,,intellect: conceive,,
far,‫ﺑﹷﻌﻴﺪ‬,‫ﺑﹷﻌﻴﺪﹶﺓ‬ | ‫ﺑﹹﻌﺎﹶﺩ‬,far,adj | adj m,MS,m,,,comp: farther | super: farthest | movement: distance,,
far away,‫ﺑﹷﻌﻴﺪ‬,‫ﺑﹷﻌﻴﺪﹶﺓ‬ | ‫ﺑﹹﻌﺎﹶﺩ‬,far away,adj | adj m,MS,m,,,movement: distance,,
far sighted,‫ﺑﹷﺼﻴﺮﹶﺓ‬,,far sighted,n | n f,MS,f,,,intellect: clever,,
farce,‫ﻣﹷﺴﺨﹷﺮﹶﺓ‬,,farce,n | n f,MS,f,,,character: humour,,
fare,‫ﺃﹸﺟﺮﹶﺓ‬,,fare,n s | n f,MS | EG,f,fares,,possessions: money,,
farewell,‫ﻭﹶﺩﺍﹶﻉ‬,‫ﻭﹶﺩﹼﹶﻉ‬ | ‫ﻳﹻﻮﹶﺩﹼﹶﻉ‬,,n m | v p,MS,m,farewells,,communication: courtesy,1) EN n s: farewell | 2) EN v inf: (bid) farewell,p: (bade) farewell | pass: (bidden) farewell
farm,‫ﻣﹷﺰﺭﹶﻋﹷﺔ‬,‫ﻣﹷﺰﺍﹶﺭﹺﻉ‬ | ‫ﻋﹻﺰﺑﹷﺔ‬ | ‫ﻋﹻﺰﹶﺏ‬,farm,n s | n f,MS,f,farms,,environment: farming,1) commercial | 2) estate,
farmer,‫ﻣﹹﺰﺍﹶﺭﹺﻉ‬,‫ﻣﹹﺰﺍﹶﺭﹺﻋﻴﻦ‬ | ‫ﻓﹷﻼﹼﹶﺡ‬ | ‫ﻓﹷﻼﹼﹶﺣﻴﻦ‬,farmer,n s | n m,MS,m,farmers,,environment: farming,,
fart,‫ﺿﹷﺮﻃﹷﺔ‬,,,n f,MS,f,,,people: bodily functions,1) EN n: fartImpolite,
EN comp: farther,‫ﺃﺑﻌﹷﺪ‬,,,comp,MS,,,,movement: distance,,
fascia,‫ﻭﹶﺟﻬﹷﺔ‬,‫ﻭﹶﺟﻬﺎﹶﺕ‬,fascia,n s | n f,EG,f,fascias,,buildings: parts,,
EN adj: fascinating,‫ﻣﹹﺬﻫﹻﻞ‬,‫ﻣﹹﺬﻫﹻﻠﹷﺔ‬ | ‫ﻣﹹﺬﻫﹻﻠﻴﻦ‬ | ‫ﻣﹹﺒﻬﹻﺮ‬ | ‫ﻣﹹﺒﻬﹻﺮﹶﺓ‬ | ‫ﻣﹹﺒﻬﹻﺮﻳﻦ‬,,adj m,EG,m,,,intellect: interest,,
fashion,‫ﻣﻮﺿﹷﺔ‬,‫ﻣﻮﺿﺎﹶﺕ‬,fashion,n s | n f,MS,f,fashions,,qualities: style,,
fast,‫ﺳﹷﺮﻳﻊ‬,‫ﺳﹷﺮﻳﻌﹷﺔ‬ | ‫ﺳﹹﺮﺍﹶﻉ‬ | ‫ﺃﺳﺮﹶﻉ‬ | ‫ﺑﹻﺴﹹﺮﻋﹷﺔ‬ | ‫ﻣﹹﻘﹷﺪﹼﹺﻡ‬ | ‫ﺻﺎﹶﻡ‬ | ‫ﻳﹻﺼﻮﻡ‬ | ‫ﺻﺎﹶﻳﹻﻢ‬,fast,adj | v inf | adj m | adv | adj invar | vi p,MS | EG,m,,,time: speed | time: time | food: consumption,1) quick | 2) EN adv: fast | 3) clock | 4) not eat,p: fasted | pass: fasted
fasten,,,fasten,v inf,,,,,technical: fixing,,p: fastened | pass: fastened
faster,‫ﺭﹶﺑﹷﻂ‬,‫ﻳﹹﺮﺑﹹﻂ‬ | ‫ﺭﺍﹶﺑﹻﻂ‬ | ‫ﻣﹷﺮﺑﻮﻁ‬,,v p,MS,,,,,,
EN comp: faster,‫ﺃﺳﺮﹶﻉ‬,,,comp,MS,,,,time: speed,,
fasting,‫ﺻﹻﻴﺎﹶﻡ‬,‫ﺻﻮﻡ‬ | ‫ﺻﺎﹶﻳﹻﻢ‬ | ‫ﺻﺎﹶﻳﻤﹷﺔ‬ | ‫ﺻﺎﹶﻳﻤﻴﻦ‬,,n m | part m,MS | EG,m,,,food: consumption,1) EN n invar: fasting | 2) EN part: fasting,
